sample_id,Interval,mean,SD,SE,size,CV
1B- | 02-10-2017,Int4,2.39644026927336,0.6164746162639169,0.07118435712970872,75,25.724597611224503
22A-HF | 09-04-2018,Int1,3.3900649440561805,0.10349578862269047,0.009693268718247,114,3.052914629383434
22A-HF | 09-04-2018,Int2,2.4931585758676755,0.16067651431161004,0.0204059377235224,62,6.444696934517732
22A-HF | 09-04-2018,Int3,4.167552733938586,0.07583253279176012,0.011564352835443782,43,1.8195938391904607
22A-HF | 09-04-2018,Int4,2.291015554463636,0.3167555121361005,0.03586549918304163,78,13.825986974159068
22B-HF | 28-05-2018,Int1,3.585770120539302,0.07630469626413364,0.006797762629100895,126,2.127986281860627
22B-HF | 28-05-2018,Int2,2.6830595624931584,0.12076593846468239,0.013587229621059089,79,4.501053206305416
22B-HF | 28-05-2018,Int3,4.291374675817613,0.05804064619294645,0.008377445675859366,48,1.3524954257667625
22B-HF | 28-05-2018,Int4,2.512870483458956,0.16108638114303453,0.018853734846653897,73,6.410452994031742
22Bb-HF | 28-05-2018,Int1,3.625830567950592,0.0591847840580941,0.005831650055427143,103,1.632309699775817
22Bb-HF | 28-05-2018,Int2,2.707347066029771,0.0912357784381039,0.01219189372610722,56,3.369932860950035
22Bb-HF | 28-05-2018,Int3,4.334043585958783,0.058802508320502225,0.009073424020027277,42,1.3567585824703665
22Bb-HF | 28-05-2018,Int4,2.5401137082224508,0.23873158378437853,0.027566348832395327,75,9.398460510314745
24A-HF | 12-04-2018,Int1,2.8545439208282524,0.1370427218698101,0.013636260490806486,101,4.800862262790016
24A-HF | 12-04-2018,Int2,1.7122529485927114,0.3212212599002501,0.04015265748753126,64,18.760152240605546
24A-HF | 12-04-2018,Int3,3.4344064654847513,0.09989284815005735,0.015995657352600598,39,2.9085913142187705
24A-HF | 12-04-2018,Int4,1.7026085362716197,0.3832599967062739,0.04867406825578938,62,22.510165345789847
24B-HF | 04-06-2018,Int1,4.130672312015562,0.11668966838454897,0.010156531973314994,132,2.824955832132088
24B-HF | 04-06-2018,Int2,3.1355857412611243,0.16724803519483603,0.018816874085135982,79,5.3338689800129435
24B-HF | 04-06-2018,Int3,4.943044769049222,0.11036701053710782,0.015930105810813368,48,2.232773840693669
24B-HF | 04-06-2018,Int4,2.880703140211049,0.16258573884411506,0.018900208234047634,74,5.643960204528522
