Sample,variable,value
26A-HF | 23-04-2018,Non.Glyco.Acid.,18.821311041126947
26B-HF | 11-06-2018,Non.Glyco.Acid.,9.307077278280241
27A-HF | 30-04-2018,Non.Glyco.Acid.,27.081126178711255
27B-HF | 18-06-2018,Non.Glyco.Acid.,18.348624614117885
27Bb-HF | 18-06-2018,Non.Glyco.Acid.,19.119479914980282
29A-HF | 08-05-2018,Non.Glyco.Acid.,6.67683599070941
2B_2-DB2 | 12-02-2018,Non.Glyco.Acid.,11.04350967937374
31A-HF | 13-08-2018,Non.Glyco.Acid.,23.191044491194127
31Bt-HF | 01-10-2018,Non.Glyco.Acid.,12.309061736863756
32A-HF | 15-05-2018,Non.Glyco.Acid.,7.957672246644867
32Ab- | 15-05-2018,Non.Glyco.Acid.,7.103252144359667
32B-HF | 29-06-2018,Non.Glyco.Acid.,9.089825595445637
33A-HF | 20-08-2018,Non.Glyco.Acid.,7.561747443305984
33B-HF | 08-10-2018,Non.Glyco.Acid.,0.7599261514414204
34B-HF | 14-11-2018,Non.Glyco.Acid.,12.991410345721318
36A-HF | 27-08-2018,Non.Glyco.Acid.,7.78767000583995
36B-HF | 15-10-2018,Non.Glyco.Acid.,7.465882843838391
39 post-ConBis  | 23-11-2018,Non.Glyco.Acid.,12.073091231974962
39A-HF | 15-10-2018,Non.Glyco.Acid.,10.262142043559553
3A-HF | 28-08-2017,Non.Glyco.Acid.,8.406928305366927
3Ab-HF | 28-08-2017,Non.Glyco.Acid.,9.46830268256932
4 post-Conbis  | 13-11-2017,Non.Glyco.Acid.,12.522854834329086
40A-HF | 07-01-2019,Non.Glyco.Acid.,15.974020138240043
40B-HF | 25-02-2019,Non.Glyco.Acid.,16.195062393743136
42B-HF | 19-11-2018,Non.Glyco.Acid.,6.180920747476449
43A-HF | 15-10-2018,Non.Glyco.Acid.,10.20215265342224
43B-HF | 05-12-2018,Non.Glyco.Acid.,12.465926610764683
44A-HF | 29-10-2018,Non.Glyco.Acid.,8.710728162892938
46A-HF | 19-11-2018,Non.Glyco.Acid.,22.92647382995405
46B-HF | 07-01-2019,Non.Glyco.Acid.,17.307822319284135
48 post-ConBis  | 21-12-2018,Non.Glyco.Acid.,8.364749349695606
48 pre- | 05-11-2018,Non.Glyco.Acid.,9.54823977304719
49A-HF | 05-12-2018,Non.Glyco.Acid.,16.06981710462443
49B-HF | 22-01-2019,Non.Glyco.Acid.,6.918361006998746
4A-HF | 25-09-2017,Non.Glyco.Acid.,12.325133200962306
