Sample,variable,value
39A-HF | 15-10-2018,Proton.Leak,-2.603876261107562
3A-HF | 28-08-2017,Proton.Leak,0.3022689554702467
3Ab-HF | 28-08-2017,Proton.Leak,2.1917967889805823
40A-HF | 07-01-2019,Proton.Leak,3.0036883130250125
40B-HF | 25-02-2019,Proton.Leak,3.052087775677915
42B-HF | 19-11-2018,Proton.Leak,-1.5068168081963886
43A-HF | 15-10-2018,Proton.Leak,2.902593277366183
43B-HF | 05-12-2018,Proton.Leak,1.0387031080076632
44A-HF | 29-10-2018,Proton.Leak,1.7442690766574636
46A-HF | 19-11-2018,Proton.Leak,2.7395663131068453
46B-HF | 07-01-2019,Proton.Leak,4.306296623837888
48 pre- | 05-11-2018,Proton.Leak,0.12644445177255292
48B-HF | 21-12-2018,Proton.Leak,1.3328657323628015
49A-HF | 05-12-2018,Proton.Leak,3.081290973100174
49B-HF | 22-01-2019,Proton.Leak,0.7590547352498476
4A-HF | 25-09-2017,Proton.Leak,9.771322663989316
4Ab-HF | 25-09-2017,Proton.Leak,16.186406962343494
4B-HF | 13-11-2017,Proton.Leak,5.474116935674253
50A-HF | 26-11-2018,Proton.Leak,-0.4080411738091829
50B-HF | 14-01-2019,Proton.Leak,2.1456252984041555
53 post-ConBis   | 20-02-2019,Proton.Leak,1.335988488642105
53A-HF | 02-01-2019,Proton.Leak,0.7133111555852523
55A-HF | 21-01-2019,Proton.Leak,5.230864626872984
55B-HF | 25-02-2019,Proton.Leak,3.5938402264175835
5A-HF | 18-09-2017,Proton.Leak,4.243017518694801
5B-HF | 06-11-2017,Proton.Leak,3.1955140687199464
7A-HF | 23-11-2017,Proton.Leak,2.1724085396440183
8A-HF | 23-10-2017,Proton.Leak,0.15120497790305265
8B-HF | 11-12-2017,Proton.Leak,3.551915815771192
9A_2-DB2 | 13-08-2018,Proton.Leak,3.308146641369527
X-HC | 23-10-2017,Proton.Leak,-0.515666739319375
Y-HC | 28-11-2017,Proton.Leak,6.384545798780856
10A-HF | 30-10-2017,Spare.Resp.Cpcty,61.72697360120078
10B-HF | 18-12-2017,Spare.Resp.Cpcty,44.57376273808079
11-HC | 18-09-2017,Spare.Resp.Cpcty,18.229130814696205
11A-HF | 28-11-2017,Spare.Resp.Cpcty,50.076593903346094
11B-HF | 15-01-2018,Spare.Resp.Cpcty,114.57524567227671
11B_2-DB2 | 14-01-2019,Spare.Resp.Cpcty,88.22335737574865
12A-HF | 06-12-2017,Spare.Resp.Cpcty,30.956829993626336
12B-HF | 22-01-2018,Spare.Resp.Cpcty,50.376111602059645
13A-HF | 26-02-2018,Spare.Resp.Cpcty,36.85379192439949
13B-HF | 13-04-2018,Spare.Resp.Cpcty,40.544496365607564
14A-HF | 22-01-2018,Spare.Resp.Cpcty,43.26520745252295
14B-HF | 12-03-2018,Spare.Resp.Cpcty,11.071181375349394
15A-HF | 15-01-2018,Spare.Resp.Cpcty,63.89552102977502
17A-HF | 12-03-2018,Spare.Resp.Cpcty,14.836272463735453
17B-HF | 30-04-2018,Spare.Resp.Cpcty,67.78045196929419
18A-HF | 12-02-2018,Spare.Resp.Cpcty,56.2472979689187
18B-HF | 03-04-2018,Spare.Resp.Cpcty,14.78098896518847
19A-HF | 19-02-2018,Spare.Resp.Cpcty,80.77148620179298
19B-HF | 09-04-2018,Spare.Resp.Cpcty,63.787813465291734
1A-HF | 14-08-2017,Spare.Resp.Cpcty,61.54069361445803
1B- | 02-10-2017,Spare.Resp.Cpcty,2.271659747836587
22A-HF | 09-04-2018,Spare.Resp.Cpcty,34.889389445051066
22B-HF | 28-05-2018,Spare.Resp.Cpcty,36.98572935159518
22Bb-HF | 28-05-2018,Spare.Resp.Cpcty,38.696128193046604
24A-HF | 12-04-2018,Spare.Resp.Cpcty,13.64648492049212
24B-HF | 04-06-2018,Spare.Resp.Cpcty,77.9876730662415
25A-HF | 05-03-2018,Spare.Resp.Cpcty,12.97661672153515
25B-HF | 23-04-2018,Spare.Resp.Cpcty,89.3668433428252
26A-HF | 23-04-2018,Spare.Resp.Cpcty,54.83008969422514
26B-HF | 11-06-2018,Spare.Resp.Cpcty,41.97948350953911
27A-HF | 30-04-2018,Spare.Resp.Cpcty,98.28877516571788
27B-HF | 18-06-2018,Spare.Resp.Cpcty,56.11905969235688
27Bb-HF | 18-06-2018,Spare.Resp.Cpcty,53.20250350141815
29A-HF | 08-05-2018,Spare.Resp.Cpcty,52.146434096467004
2B_2-DB2 | 12-02-2018,Spare.Resp.Cpcty,85.94038914731422
31A-HF | 13-08-2018,Spare.Resp.Cpcty,185.85398950147956
31B-HF | 01-10-2018,Spare.Resp.Cpcty,109.29411541457347
32A-HF | 15-05-2018,Spare.Resp.Cpcty,47.673728839792034
32Ab-HF | 15-05-2018,Spare.Resp.Cpcty,41.50586268083505
32B-HF | 29-06-2018,Spare.Resp.Cpcty,52.11160049902615
33A-HF | 20-08-2018,Spare.Resp.Cpcty,50.54471362756848
33B-HF | 08-10-2018,Spare.Resp.Cpcty,-3.911181776063051
34B-HF | 14-11-2018,Spare.Resp.Cpcty,67.238073727054
36A-HF | 27-08-2018,Spare.Resp.Cpcty,44.51530950796017
36B-HF | 15-10-2018,Spare.Resp.Cpcty,63.6646411277681
39 post-ConBis  | 23-11-2018,Spare.Resp.Cpcty,72.09574974640617
39A-HF | 15-10-2018,Spare.Resp.Cpcty,58.227406879924544
3A-HF | 28-08-2017,Spare.Resp.Cpcty,27.521725400502184
3Ab-HF | 28-08-2017,Spare.Resp.Cpcty,26.87737114018354
40A-HF | 07-01-2019,Spare.Resp.Cpcty,78.79220709129955
40B-HF | 25-02-2019,Spare.Resp.Cpcty,97.30525512646835
42B-HF | 19-11-2018,Spare.Resp.Cpcty,30.791294072411397
43A-HF | 15-10-2018,Spare.Resp.Cpcty,54.23347836916159
43B-HF | 05-12-2018,Spare.Resp.Cpcty,52.973770893737324
44A-HF | 29-10-2018,Spare.Resp.Cpcty,40.47522164399524
46A-HF | 19-11-2018,Spare.Resp.Cpcty,5.8520345267606615
46B-HF | 07-01-2019,Spare.Resp.Cpcty,79.9680685762197
48 pre- | 05-11-2018,Spare.Resp.Cpcty,51.88653145545475
48B-HF | 21-12-2018,Spare.Resp.Cpcty,33.34309975250147
49A-HF | 05-12-2018,Spare.Resp.Cpcty,9.463757814552629
49B-HF | 22-01-2019,Spare.Resp.Cpcty,42.53336736899551
4A-HF | 25-09-2017,Spare.Resp.Cpcty,26.8586531135159
4Ab-HF | 25-09-2017,Spare.Resp.Cpcty,30.91547335583884
4B-HF | 13-11-2017,Spare.Resp.Cpcty,86.37939295761211
50A-HF | 26-11-2018,Spare.Resp.Cpcty,46.38347931645035
50B-HF | 14-01-2019,Spare.Resp.Cpcty,78.7761125415893
53 post-ConBis   | 20-02-2019,Spare.Resp.Cpcty,40.41125141205074
53A-HF | 02-01-2019,Spare.Resp.Cpcty,56.31177703682688
55A-HF | 21-01-2019,Spare.Resp.Cpcty,62.87794880764744
55B-HF | 25-02-2019,Spare.Resp.Cpcty,108.39651651671133
5A-HF | 18-09-2017,Spare.Resp.Cpcty,43.04566043058218
5B-HF | 06-11-2017,Spare.Resp.Cpcty,59.5402022197355
7A-HF | 23-11-2017,Spare.Resp.Cpcty,20.505529654082274
8A-HF | 23-10-2017,Spare.Resp.Cpcty,86.30047793773515
8B-HF | 11-12-2017,Spare.Resp.Cpcty,72.32005395741155
9A_2-DB2 | 13-08-2018,Spare.Resp.Cpcty,63.00751964419348
X-HC | 23-10-2017,Spare.Resp.Cpcty,56.8394664178755
Y-HC | 28-11-2017,Spare.Resp.Cpcty,88.32001103491359
10A-HF | 30-10-2017,Maximal.Resp,94.2048087486082
10B-HF | 18-12-2017,Maximal.Resp,66.94965096246139
11-HC | 18-09-2017,Maximal.Resp,32.79454255981425
11A-HF | 28-11-2017,Maximal.Resp,72.67812152613627
11B-HF | 15-01-2018,Maximal.Resp,157.126159491583
11B_2-DB2 | 14-01-2019,Maximal.Resp,118.0658576550968
12A-HF | 06-12-2017,Maximal.Resp,46.58295414984129
12B-HF | 22-01-2018,Maximal.Resp,72.8557843329317
13A-HF | 26-02-2018,Maximal.Resp,57.87929984254347
13B-HF | 13-04-2018,Maximal.Resp,68.07013976179897
14A-HF | 22-01-2018,Maximal.Resp,59.54355305056275
14B-HF | 12-03-2018,Maximal.Resp,24.458247513125052
15A-HF | 15-01-2018,Maximal.Resp,84.18756829799233
17A-HF | 12-03-2018,Maximal.Resp,22.528928983699917
17B-HF | 30-04-2018,Maximal.Resp,95.77051118839809
18A-HF | 12-02-2018,Maximal.Resp,79.95346027656197
18B-HF | 03-04-2018,Maximal.Resp,27.88085515584311
19A-HF | 19-02-2018,Maximal.Resp,116.35559866033208
19B-HF | 09-04-2018,Maximal.Resp,95.02464205925206
1A-HF | 14-08-2017,Maximal.Resp,63.62259399086695
1B- | 02-10-2017,Maximal.Resp,11.467639871617276
22A-HF | 09-04-2018,Maximal.Resp,54.672295519899656
22B-HF | 28-05-2018,Maximal.Resp,60.72656430010666
22Bb-HF | 28-05-2018,Maximal.Resp,63.57091829607336
24A-HF | 12-04-2018,Maximal.Resp,25.5244265931821
24B-HF | 04-06-2018,Maximal.Resp,122.38059564682652
25A-HF | 05-03-2018,Maximal.Resp,24.857615534790135
25B-HF | 23-04-2018,Maximal.Resp,136.34033186001423
26A-HF | 23-04-2018,Maximal.Resp,89.29256150926088
26B-HF | 11-06-2018,Maximal.Resp,73.80065141289894
27A-HF | 30-04-2018,Maximal.Resp,154.53566527496108
27B-HF | 18-06-2018,Maximal.Resp,95.53174149044773
