Sample,variable,value
48 pre- | 05-11-2018,log.Spare.Resp.Cpcty,0.8568554255667653
48B-HF | 21-12-2018,log.Spare.Resp.Cpcty,0.7563938226190752
49A-HF | 05-12-2018,log.Spare.Resp.Cpcty,0.19865255133019488
49B-HF | 22-01-2019,log.Spare.Resp.Cpcty,0.8230489870030451
4A-HF | 25-09-2017,log.Spare.Resp.Cpcty,0.5317059942885525
4Ab-HF | 25-09-2017,log.Spare.Resp.Cpcty,0.6156409287579865
4B-HF | 13-11-2017,log.Spare.Resp.Cpcty,0.9414369091130101
50A-HF | 26-11-2018,log.Spare.Resp.Cpcty,0.872089187025356
50B-HF | 14-01-2019,log.Spare.Resp.Cpcty,1.0246945318918068
53 post-ConBis   | 20-02-2019,log.Spare.Resp.Cpcty,0.7835059406275029
53A-HF | 02-01-2019,log.Spare.Resp.Cpcty,0.9779640889953769
55A-HF | 21-01-2019,log.Spare.Resp.Cpcty,1.010909393211775
55B-HF | 25-02-2019,log.Spare.Resp.Cpcty,0.8301412883970745
5A-HF | 18-09-2017,log.Spare.Resp.Cpcty,0.6038738256353122
5B-HF | 06-11-2017,log.Spare.Resp.Cpcty,0.9082825855502796
7A-HF | 23-11-2017,log.Spare.Resp.Cpcty,0.6245904795552293
8A-HF | 23-10-2017,log.Spare.Resp.Cpcty,1.951199269300333
8B-HF | 11-12-2017,log.Spare.Resp.Cpcty,0.9237265343472751
9A_2-DB2 | 13-08-2018,log.Spare.Resp.Cpcty,0.8357814025174393
X-HC | 23-10-2017,log.Spare.Resp.Cpcty,1.6871219961630137
Y-HC | 28-11-2017,log.Spare.Resp.Cpcty,1.1242005346496637
10A-HF | 30-10-2017,log.Maximal.Resp,1.9754714969022813
10B-HF | 18-12-2017,log.Maximal.Resp,2.3069550019233707
11-HC | 18-09-2017,log.Maximal.Resp,1.9174267647428873
11A-HF | 28-11-2017,log.Maximal.Resp,1.891638202524791
11B-HF | 15-01-2018,log.Maximal.Resp,3.0482562644862363
11B_2-DB2 | 14-01-2019,log.Maximal.Resp,2.2717793133341244
12A-HF | 06-12-2017,log.Maximal.Resp,2.961268604499443
12B-HF | 22-01-2018,log.Maximal.Resp,2.5320633363104585
13A-HF | 26-02-2018,log.Maximal.Resp,2.2373922788109777
13B-HF | 13-04-2018,log.Maximal.Resp,1.9583009478400077
14A-HF | 22-01-2018,log.Maximal.Resp,2.0235042388345477
14B-HF | 12-03-2018,log.Maximal.Resp,1.925678665110336
15A-HF | 15-01-2018,log.Maximal.Resp,2.236557270612369
17A-HF | 12-03-2018,log.Maximal.Resp,1.5618696639633207
17B-HF | 30-04-2018,log.Maximal.Resp,2.0281872972589996
18A-HF | 12-02-2018,log.Maximal.Resp,2.150818830457732
18B-HF | 03-04-2018,log.Maximal.Resp,2.2653996501379146
19A-HF | 19-02-2018,log.Maximal.Resp,2.3838246093235282
19B-HF | 09-04-2018,log.Maximal.Resp,1.9776758667760026
1A-HF | 14-08-2017,log.Maximal.Resp,1.5655998251940857
1B- | 02-10-2017,log.Maximal.Resp,0.7149234091692116
22A-HF | 09-04-2018,log.Maximal.Resp,1.87653717947495
22B-HF | 28-05-2018,log.Maximal.Resp,1.7785041923586569
22Bb-HF | 28-05-2018,log.Maximal.Resp,1.7939298777363324
24A-HF | 12-04-2018,log.Maximal.Resp,1.7317979292131316
24B-HF | 04-06-2018,log.Maximal.Resp,2.062341628838173
25A-HF | 05-03-2018,log.Maximal.Resp,2.0848334133792625
25B-HF | 23-04-2018,log.Maximal.Resp,1.830248196869999
26A-HF | 23-04-2018,log.Maximal.Resp,1.7176609095355402
26B-HF | 11-06-2018,log.Maximal.Resp,2.007267373639827
27A-HF | 30-04-2018,log.Maximal.Resp,2.041274412194173
27B-HF | 18-06-2018,log.Maximal.Resp,1.7144137352986877
27Bb-HF | 18-06-2018,log.Maximal.Resp,1.6656525749398954
29A-HF | 08-05-2018,log.Maximal.Resp,1.9228045153360123
2B_2-DB2 | 12-02-2018,log.Maximal.Resp,2.0684260987579512
31A-HF | 13-08-2018,log.Maximal.Resp,2.553162122812508
31B-HF | 01-10-2018,log.Maximal.Resp,2.138584287445329
32A-HF | 15-05-2018,log.Maximal.Resp,1.8315321752160894
32Ab-HF | 15-05-2018,log.Maximal.Resp,1.7285612204069132
32B-HF | 29-06-2018,log.Maximal.Resp,1.9366581279141526
33A-HF | 20-08-2018,log.Maximal.Resp,2.080420190531436
33B-HF | 08-10-2018,log.Maximal.Resp,0.579017088617924
34B-HF | 14-11-2018,log.Maximal.Resp,1.8881238841184622
36A-HF | 27-08-2018,log.Maximal.Resp,1.8505982234924478
36B-HF | 15-10-2018,log.Maximal.Resp,1.9668291596031855
39 post-ConBis  | 23-11-2018,log.Maximal.Resp,2.2312097210756354
39A-HF | 15-10-2018,log.Maximal.Resp,1.966086135952687
3A-HF | 28-08-2017,log.Maximal.Resp,1.488726043768211
3Ab-HF | 28-08-2017,log.Maximal.Resp,1.514010156367207
40A-HF | 07-01-2019,log.Maximal.Resp,2.5579102568812018
40B-HF | 25-02-2019,log.Maximal.Resp,1.9194740966635666
42B-HF | 19-11-2018,log.Maximal.Resp,2.210636403349133
43A-HF | 15-10-2018,log.Maximal.Resp,1.9686190727364483
43B-HF | 05-12-2018,log.Maximal.Resp,1.8038014542988043
44A-HF | 29-10-2018,log.Maximal.Resp,1.9150413644736224
46A-HF | 19-11-2018,log.Maximal.Resp,1.8376464525925527
46B-HF | 07-01-2019,log.Maximal.Resp,2.4819085378627133
48 pre- | 05-11-2018,log.Maximal.Resp,1.9087127023866879
48B-HF | 21-12-2018,log.Maximal.Resp,2.2262544287020916
49A-HF | 05-12-2018,log.Maximal.Resp,1.163238558274748
49B-HF | 22-01-2019,log.Maximal.Resp,1.942076681240787
4A-HF | 25-09-2017,log.Maximal.Resp,1.5230530046286335
4Ab-HF | 25-09-2017,log.Maximal.Resp,1.7579291435136057
4B-HF | 13-11-2017,log.Maximal.Resp,2.1580452241607757
50A-HF | 26-11-2018,log.Maximal.Resp,1.941974883960905
50B-HF | 14-01-2019,log.Maximal.Resp,2.3576883120851235
53 post-ConBis   | 20-02-2019,log.Maximal.Resp,1.911923801921759
53A-HF | 02-01-2019,log.Maximal.Resp,2.0258182423052036
55A-HF | 21-01-2019,log.Maximal.Resp,2.6237014182065415
55B-HF | 25-02-2019,log.Maximal.Resp,1.8208753120329875
5A-HF | 18-09-2017,log.Maximal.Resp,1.8148509887108601
5B-HF | 06-11-2017,log.Maximal.Resp,2.101028430165684
7A-HF | 23-11-2017,log.Maximal.Resp,1.850807139074096
8A-HF | 23-10-2017,log.Maximal.Resp,1.9687118357361633
8B-HF | 11-12-2017,log.Maximal.Resp,2.169514218611318
9A_2-DB2 | 13-08-2018,log.Maximal.Resp,2.13809596038966
X-HC | 23-10-2017,log.Maximal.Resp,1.6253758281696529
Y-HC | 28-11-2017,log.Maximal.Resp,2.3457776153240033
10A-HF | 30-10-2017,log.Non.Mito.Resp,2.719307335052005
10B-HF | 18-12-2017,log.Non.Mito.Resp,2.001862293149094
11-HC | 18-09-2017,log.Non.Mito.Resp,1.7318144301699145
11A-HF | 28-11-2017,log.Non.Mito.Resp,2.5578916986434006
11B-HF | 15-01-2018,log.Non.Mito.Resp,2.0573688811581934
11B_2-DB2 | 14-01-2019,log.Non.Mito.Resp,2.6083059745926
