Sample,variable,value
3B_2x-DB2 | 23-Feb-18 ,log.Proton.Leak,0.05948619949521916
3B_2y-DB2 | 23-Feb-18 ,log.Proton.Leak,0.15598595945092653
3B_3x-DB2 | 07-03-2018,log.Proton.Leak,0.20423987215572614
3B_3y-DB2 | 07-03-2018,log.Proton.Leak,0.1928479860296961
3B_4x-DB2 | 28-03-2018,log.Proton.Leak,0.280643994596677
3B_4y-DB2 | 28-03-2018,log.Proton.Leak,0.1768685435428896
4A_1x-DB2 | 09-01-2018,log.Proton.Leak,-0.019450980313385546
4A_1y-DB2 | 09-01-2018,log.Proton.Leak,-0.10367356167363351
4A_3x-DB2 | 13-02-2018,log.Proton.Leak,0.1251733635818404
4A_3y-DB2 | 13-02-2018,log.Proton.Leak,0.05629600260212397
4A_4x-DB2 | 09-03-2018,log.Proton.Leak,0.1734513508006308
4A_4y-DB2 | 09-03-2018,log.Proton.Leak,0.04952721710195718
5A_1-DB2 | 27-03-2018,log.Proton.Leak,0.06038668121811286
5A_2x-DB2 | 23-04-2018,log.Proton.Leak,0.13154221332566074
5A_2y-DB2 | 23-04-2018,log.Proton.Leak,0.13832955316584172
5A_3-DB2 | 02-05-2018,log.Proton.Leak,0.45391685893337197
5A_4x-DB2 | 25-05-2018,log.Proton.Leak,0.17618367890568365
5A_4y-DB2 | 25-05-2018,log.Proton.Leak,0.21070555620787612
6G_1-DB2 | 27-03-2018,log.Proton.Leak,0.2207286364766965
6G_2x-DB2 | 19-04-2018,log.Proton.Leak,0.2264009875752726
6G_2y-DB2 | 19-04-2018,log.Proton.Leak,0.15769723050230722
6G_3-DB2 | 02-05-2018,log.Proton.Leak,0.38789302152182303
6G_4x-DB2 | 24-05-2018,log.Proton.Leak,0.15038943600948995
6G_4y-DB2 | 24-05-2018,log.Proton.Leak,0.16072334022731738
7A_2x-DB2 | 17-08-2018,log.Proton.Leak,0.12367793224018708
7A_2y-DB2 | 17-08-2018,log.Proton.Leak,0.25835763021803704
7A_3x-DB2 | 29-08-2018,log.Proton.Leak,0.10473723060065065
7A_3y-DB2 | 29-08-2018,log.Proton.Leak,0.17470174541366124
7A_4x-DB2 | 21-09-2018,log.Proton.Leak,0.10076787584446034
7A_4y-DB2 | 21-09-2018,log.Proton.Leak,0.1739933179090185
9A_1x-DB2 | 02-07-2018,log.Proton.Leak,0.10192490182298641
9A_1y-DB2 | 02-07-2018,log.Proton.Leak,0.1320553174180792
9A_3x-DB2 | 23-Aug-18 ,log.Proton.Leak,0.31653267504499905
9A_3y-DB2 | 23-Aug-18 ,log.Proton.Leak,0.3014116909095401
